ArticleID,Pub_Type,Authors,Year ,Title,Pub_name,Volume,Issue,Pages,source
23787,Journal Article,Durango-Cordero_etal,2018,Spatial analysis of accidental oil spills using heterogeneous data: A case study from the North-Eastern Ecuadorian Amazon,Sustainability (Switzerland),10,12,,PubDatabase
23788,Journal Article,Dutta_etal,2017,"Assessing anthropogenic disturbance on forest health based on fragment grading in Durgapur Forest Range, West Bengal, India",Spatial Information Research,25,3,501-512,PubDatabase
23790,Journal Article,Duvall and Barron,2000,A screening level probabilistic risk assessment of mercury in Florida Everglades food webs,Ecotoxicology and Environmental Safety,47,3,298-305,PubDatabase
23791,Journal Article,Dwyer_etal,2016,Power pole density informs spatial prioritization for mitigating avian electrocution,Journal of Wildlife Management,80,4,634-642,PubDatabase
23793,Journal Article,Dzialak_etal,2011,Identifying and prioritizing greater sage-grouse nesting and brood-rearing habitat for conservation in human-modified landscapes,PLoS ONE,6,10,,PubDatabase
23795,Journal Article,Easterday_etal,2016,Assessing threats and conservation status of historical centers of oak richness in California,Urban Planning,1,4,65-78,PubDatabase
23796,Journal Article,Ebdon_etal,2020,"Testing the efficacy of ship strike mitigation for whales in the Hauraki Gulf, New Zealand",Ocean and Coastal Management,184,,,PubDatabase
23804,Journal Article,Eguchi_etal,2017,Predicting overlap between drift gillnet fishing and leatherback turtle habitat in the California Current Ecosystem,Fisheries Oceanography,26,1,17-33,PubDatabase
23816,Journal Article,Elleouet_etal,2014,A trait-based approach for assessing and mapping niche overlap between native and exotic species: The mediterranean coastal fish fauna as a case study,Diversity and Distributions,20,11,1333-1344,PubDatabase
23823,Journal Article,Enrichetti_etal,2019,"Assessing the environmental status of temperate mesophotic reefs: A new, integrated methodological approach",Ecological Indicators,102,,218-229,PubDatabase
23824,Journal Article,Enríquez-Andrade_etal,2005,An analysis of critical areas for biodiversity conservation in the Gulf of California Region,Ocean and Coastal Management,48,1,31-50,PubDatabase
23825,Journal Article,Epa and Mohotti,2016,"Impact of fishing with Tephrosia candida (Fabaceae) on diversity and abundance of fish in the streams at the boundary of Sinharaja Man and Biosphere Forest Reserve, Sri Lanka",Revista De Biologia Tropical,64,3,1129-1141,PubDatabase
23828,Journal Article,Erbe_etal,2014,Identifying modeled ship noise hotspots for marine mammals of Canada's Pacific region,PLoS ONE,9,3,,PubDatabase
23832,Journal Article,Escobar_etal,2015,Anthropogenic disturbance and habitat loss for the red-listed Asiatic black bear (Ursus thibetanus): Using ecological niche modeling and nighttime light satellite imagery,Biological Conservation,191,,400-407,PubDatabase
23833,Journal Article,Esetlili_etal,2014,Relationship between highway constructions and natural habitat. a case study of izmir highway,Journal of Environmental Protection and Ecology,15,4,1881-1892,PubDatabase
23836,Journal Article,Espinoza-Tenorio_etal,2010,Ecosystem-based analysis of a marine protected area where fisheries and protected species coexist,Environmental Management,45,4,739-750,PubDatabase
23838,Journal Article,Esselman and Allan,2011,Application of species distribution models and conservation planning software to the design of a reserve network for the riverine fishes of northeastern Mesoamerica,Freshwater Biology,56,1,71-88,PubDatabase
23841,Journal Article,Estoque and Murayama,2012,"Examining the potential impact of land use/cover changes on the ecosystem services of Baguio city, the Philippines: A scenario-based analysis",Applied Geography,35,2022-02-01,316-326,PubDatabase
23845,Journal Article,Etter_etal,2011,Incorporating temporality and biophysical vulnerability to quantify the human spatial footprint on ecosystems,Biological Conservation,144,5,1585-1594,PubDatabase
23847,Journal Article,Evans_etal,2011,What to do in the face of multiple threats? Incorporating dependencies within a return on investment framework for conservation,Diversity and Distributions,17,3,437-450,PubDatabase
23848,Journal Article,Evans_etal,2011,The spatial distribution of threats to species in Australia,BioScience,61,4,281-289,PubDatabase
23854,Journal Article,Fa_etal,2013,Mapping Hotspots of Threatened Species Traded in Bushmeat Markets in the Cross-Sanaga Rivers Region,Conservation Biology,28,1,224-233,PubDatabase
23855,Journal Article,Fabrizio_etal,2019,Where will it cross next? Optimal management of road collision risk for otters in Italy,Journal of Environmental Management,251,,,PubDatabase
23856,Journal Article,Fabrizio_etal,2019,Habitat suitability vs landscape connectivity determining roadkill risk at a regional scale: a case study on European badger (Meles meles),European Journal of Wildlife Research,65,1,10,PubDatabase
23858,Journal Article,Fakarayi_etal,2015,"Pattern of land-use and land cover changes in driefontein grassland important bird area, Zimbabwe",Tropical Conservation Science,8,1,274-283,PubDatabase
23864,Journal Article,Farella_etal,2020,Incorporating ecosystem services conservation into a scenario-based MSP framework: An Adriatic case study,Ocean and Coastal Management,193,,,PubDatabase
23865,Journal Article,Farfán_etal,2019,"Spatial modelling for predicting potential wildlife distributions and human impacts in the Dja Forest Reserve, Cameroon",Biological Conservation,230,,104-112,PubDatabase
23866,Journal Article,Fargione_etal,2012,Wind and wildlife in the Northern Great Plains: Identifying low-impact areas for wind development,PLoS ONE,7,7,,PubDatabase
23867,Conference Proceeding,Farizal_etal,2020,"Analysis of the Mount Tunggangan Wildlife Reserve Area Arrangement, Sragen, Central Java using Geographic Information Systems (GIS) with Ecological Sensitivity and Ecological Pressure Approaches",,,,448,PubDatabase
23868,Journal Article,Fasola and Roesler,2018,A familiar face with a novel behavior raises challenges for conservation: American mink in arid Patagonia and a critically endangered bird,Biological Conservation,218,,217-222,PubDatabase
23869,Journal Article,Fassnacht_etal,2015,Mapping degraded grassland on the Eastern Tibetan Plateau with multi-temporal Landsat 8 data - where do the severely degraded areas occur?,International Journal of Applied Earth Observation and Geoinformation,42,,115-127,PubDatabase
23870,Journal Article,Fauzi_etal,2019,Contextualizing Mangrove Forest Deforestation in Southeast Asia Using Environmental and Socio-Economic Data Products,Forests,10,11,18,PubDatabase
23871,Journal Article,Favilli_etal,2018,"Application of KDE plus software to identify collective risk hotspots of ungulate-vehicle collisions in South Tyrol, Northern Italy",European Journal of Wildlife Research,64,5,12,PubDatabase
23877,Journal Article,Feist_etal,2011,Landscape ecotoxicology of coho salmon spawner mortality in urban streams,PLoS ONE,6,8,,PubDatabase
23879,Journal Article,Feitosa_etal,2018,DNA-based identification reveals illegal trade of threatened shark species in a global elasmobranch conservation hotspot,Scientific Reports,8,1,,PubDatabase
23881,Journal Article,Felton Annika_etal,2013,Commercial harvesting of Ficus timber–An emerging threat to frugivorous wildlife and sustainable forestry,Biological conservation,159,,96-100,PubDatabase
23888,Journal Article,Fernandes_etal,2017,How does the cumulative impacts approach support Maritime Spatial Planning?,Ecological Indicators,73,,189-202,PubDatabase
23889,Journal Article,Fernandes_etal,2020,Mapping the future: Pressures and impacts in the Portuguese maritime spatial planning,Science of the Total Environment,715,,,PubDatabase
23891,Journal Article,Fernández-Bellon,2020,Limited accessibility and bias in wildlife-wind energy knowledge: A bilingual systematic review of a globally distributed bird group,Science of the Total Environment,737,,,PubDatabase
23893,Journal Article,Ferreguetti Á_etal,2018,One step ahead to predict potential poaching hotspots: Modeling occupancy and detectability of poachers in a neotropical rainforest,Biological Conservation,227,,133-140,PubDatabase
23903,Journal Article,Filius_etal,2020,Wildlife roadkill patterns in a fragmented landscape of the Western Amazon,Ecology and Evolution,10,13,6623-6635,PubDatabase
23904,Journal Article,Findlay_etal,2018,Mapping widespread and increasing underwater noise pollution from acoustic deterrent devices,Marine Pollution Bulletin,135,,1042-1050,PubDatabase
23905,Journal Article,Finer_etal,2008,"Oil and gas projects in the Western Amazon: Threats to wilderness, biodiversity, and indigenous peoples",PLoS ONE,3,8,,PubDatabase
23906,Journal Article,Fiorini_etal,2017,Urban development of the coastal system of the Italian largest islands: Sicily and Sardinia,Ocean and Coastal Management,143,,184-194,PubDatabase
23909,Journal Article,Flechas_etal,2017,"Current and predicted distribution of the pathogenic fungus Batrachochytrium dendrobatidis in Colombia, a hotspot of amphibian biodiversity",Biotropica,49,5,685-694,PubDatabase
23912,Journal Article,Flory_etal,2012,Environmental conditions associated with bat white-nose syndrome mortality in the north-eastern United States,Journal of Applied Ecology,49,3,680-689,PubDatabase
23913,Journal Article,Floyd_etal,2006,"Predicting and mitigating weed invasions to restore natural post-fire succession in Mesa Verde National Park, Colorado, USA",International Journal of Wildland Fire,15,2,247-259,PubDatabase
23915,Journal Article,Focardi_etal,2006,Integrating remote sensing approach with pollution monitoring tools for aquatice ecosystem risk assessment and managment: A case study of Lake Victoria (UGANDA),Environmental Monitoring and Assessment,122,2022-03-01,275-287,PubDatabase
23917,Journal Article,Foden_etal,2013,"Identifying the World's Most Climate Change Vulnerable Species: A Systematic Trait-Based Assessment of all Birds, Amphibians and Corals",PLoS ONE,8,6,,PubDatabase
23920,Journal Article,Fonnesbeck_etal,2008,Bayesian hierarchichal model for evaluating the risk of vessel strikes on North Atlantic right whales in the SE United States,Endangered Species Research,6,1,87-94,PubDatabase
23922,Journal Article,Foo and Numata,2019,"Deforestation and forest fragmentation in and around Endau-Rompin National Park, Peninsular Malaysia",Tropics,28,2,23-37,PubDatabase
23927,Journal Article,Fort_etal,2013,Multicolony tracking reveals potential threats to little auks wintering in the North Atlantic from marine pollution and shrinking sea ice cover,Diversity and Distributions,19,10,1322-1332,PubDatabase
23929,Journal Article,Fortini Lucas_etal,2019,The evolving threat of Rapid ‘?hi ‘a Death (ROD) to Hawai ‘i’s native ecosystems and rare plant species,Forest Ecology and Management,448,,376-385,PubDatabase
23932,Journal Article,Foveau_etal,2017,Process-driven and biological characterisation and mapping of seabed habitats sensitive to trawling,PLoS ONE,12,10,,PubDatabase
23936,Journal Article,Foxcroft_etal,2007,Risk assessment of riparian plant invasions into protected areas,Conservation Biology,21,2,412-421,PubDatabase
23937,Journal Article,Foxcroft_etal,2009,"Patterns of alien plant distribution at multiple spatial scales in a large national park: implications for ecology, management and monitoring",Diversity and Distributions,15,3,367-378,PubDatabase
23938,Journal Article,Francesco_etal,2019,"Geographical Relationship between Ungulates, Human Pressure and Territory",Applied Spatial Analysis and Policy,12,4,847-870,PubDatabase
23941,Journal Article,Fraschetti_etal,2016,Impact of offshore gas platforms on the structural and functional biodiversity of nematodes,Marine Environmental Research,115,,56-64,PubDatabase
23946,Journal Article,Fremout_etal,2020,Mapping tree species vulnerability to multiple threats as a guide to restoration and conservation of tropical dry forests,Global Change Biology,26,6,3552-3568,PubDatabase
23951,Journal Article,Fryxell_etal,2020,Anthropogenic Disturbance and Population Viability of Woodland Caribou in Ontario,Journal of Wildlife Management,,,,PubDatabase
23953,Journal Article,Fuentes_etal,2016,Conservation hotspots for marine turtle nesting in the United States based on coastal development,Ecological Applications,26,8,2706-2717,PubDatabase
23955,Journal Article,Fugère_etal,2018,Ecosystem structure and function of afrotropical streams with contrasting land use,Freshwater Biology,63,12,1498-1513,PubDatabase
23957,Journal Article,Furlan_etal,2018,Spatially explicit risk approach for multi-hazard assessment and management in marine environment: The case study of the Adriatic Sea,Science of the Total Environment,618,,1008-1023,PubDatabase
23958,Journal Article,Furlan_etal,2019,Cumulative Impact Index for the Adriatic Sea: Accounting for interactions among climate and anthropogenic pressures,Science of the Total Environment,670,,379-397,PubDatabase
23960,Journal Article,Gabriel_etal,2012,Anticoagulant rodenticides on our public and community lands: Spatial distribution of exposure and poisoning of a rare forest carnivore,PLoS ONE,7,7,,PubDatabase
23964,Journal Article,Gaines_etal,2005,The development of a spatially explicit model to estimate radiocaesium body burdens in raccoons (Procyon lotor) for ecological risk assessment,Science of the Total Environment,341,2022-03-01,15-31,PubDatabase
23967,Journal Article,Gairola_etal,2016,Remote sensing object-oriented approaches coupled with ecological informatics to map invasive plant species,South African Journal of Geomatics,5,3,285-300,PubDatabase
23968,Journal Article,Gaisberger_etal,2017,Spatially explicit multi-threat assessment of food tree species in Burkina Faso: A fine-scale approach,PLoS ONE,12,9,,PubDatabase
23969,Journal Article,Gaisberger_etal,2020,Diversity Under Threat: Connecting Genetic Diversity and Threat Mapping to Set Conservation Priorities for Juglans regia L. Populations in Central Asia,Frontiers in Ecology and Evolution,8,,,PubDatabase
23975,Journal Article,Gallagher_etal,2008,Soil metal concentrations and vegetative assemblage structure in an urban brownfield,Environmental Pollution,153,2,351-361,PubDatabase
23977,Journal Article,Gallagher_etal,2019,Safety margins and adaptive capacity of vegetation to climate change,Scientific Reports,9,,11,PubDatabase
23978,Journal Article,Gallão and Bichuette,2018,Brazilian obligatory subterranean fauna and threats to the hypogean environment,ZooKeys,746,,2023-01-01,PubDatabase
23979,Journal Article,Gallardo and Aldridge,2013,Evaluating the combined threat of climate change and biological invasions on endangered species,Biological Conservation,160,,225-233,PubDatabase
23980,Journal Article,Gallardo_etal,2017,Protected areas offer refuge from invasive species spreading under climate change,Global Change Biology,23,12,5331-5343,PubDatabase
23982,Journal Article,Gallego-Zamorano_etal,2020,Combined effects of land use and hunting on distributions of tropical mammals,Conservation Biology,,,,PubDatabase
23985,Journal Article,Gaoue and Ticktin,2007,Patterns of harvesting foliage and bark from the multipurpose tree Khaya senegalensis in Benin: Variation across ecological regions and its impacts on population structure,Biological Conservation,137,3,424-436,PubDatabase
23988,Journal Article,Garcês_etal,2019,Preservation of wild bird species in northern Portugal - Effects of anthropogenic pressures in wild bird populations (2008–2017),Science of the Total Environment,650,,2996-3006,PubDatabase
23989,Journal Article,Garcia_etal,2014,Matching species traits to projected threats and opportunities from climate change,Journal of Biogeography,41,4,724-735,PubDatabase
23991,Journal Article,García-Barcelona_etal,2010,Modelling abundance and distribution of seabird by-catch in the Spanish mediterranean longline fishery,Ardeola,57,SPEC. DECEMBER,65-78,PubDatabase
23992,Journal Article,Garcia-Carrasco_etal,2020,Roadkill of birds in Galapagos Islands: a growing need for solutions,Avian Conservation and Ecology,15,1,8,PubDatabase
23993,Journal Article,Garcia-De-Vinuesa_etal,2018,Linking trawl fleet dynamics and the spatial distribution of exploited species can help to avoid unwanted catches: The case of the NW mediterranean fishing grounds,Scientia Marina,82,S1,165-174,PubDatabase
23997,Journal Article,Gargan_etal,2011,"Comparison of field- and GIS-based assessments of barriers to Atlantic salmon migration: A case study in the Nore Catchment, Republic of Ireland",Journal of Applied Ichthyology,27,SUPPL. 3,66-72,PubDatabase
24000,Journal Article,Garrard_etal,2016,"Land Use and Land Cover Change in Sagarmatha National Park, a World Heritage Site in the Himalayas of Eastern Nepal",Mountain Research and Development,36,3,299-310,PubDatabase
24001,Journal Article,Garratt_etal,2019,Mapping the consequences of artificial light at night for intertidal ecosystems,Science of the Total Environment,691,,760-768,PubDatabase
24003,Journal Article,Garrote_etal,2018,Prediction of iberian lynx road–mortality in southern Spain: A new approach using the MaxEnt algorithm,Animal Biodiversity and Conservation,41,2,217-225,PubDatabase
24013,Journal Article,Genovart_etal,2017,Differential adult survival at close seabird colonies: The importance of spatial foraging segregation and bycatch risk during the breeding season,Global Change Biology,24,3,1279-1290,PubDatabase
24016,Report,Gerlach,2002,Alien plant species threat assessment and management prioritization for Sequoia-Kings Canyon and Yosemite National Parks,,,,,PubDatabase
24024,Journal Article,Ghorbani_etal,2014,Wild orchid tuber collection in Iran: A wake-up call for conservation,Biodiversity and Conservation,23,11,2749-2760,PubDatabase
24025,Journal Article,Ghulam_etal,2015,Remote Sensing Based Spatial Statistics to Document Tropical Rainforest Transition Pathways,Remote Sensing,7,5,6257-6279,PubDatabase
24029,Journal Article,Gibson_etal,2018,Effects of power lines on habitat use and demography of greater sage-grouse (Centrocercus urophasianus),Wildlife Monographs,200,1,1941-01-01,PubDatabase
24030,Journal Article,Giersch_etal,2015,Climate-induced range contraction of a rare alpine aquatic invertebrate,Freshwater Science,34,1,53-65,PubDatabase
24034,Journal Article,Gillen and Kiviat,2012,Environmental reviews and case studies: Hydraulic fracturing threats to species with restricted geographic ranges in the Eastern United States,Environmental Practice,14,4,320-331,PubDatabase
24036,Journal Article,Gilman_etal,2008,Reducing seabird bycatch in the Hawaii longline tuna fishery,Endangered Species Research,5,2022-03-02,309-323,PubDatabase
24038,Journal Article,Gimpel_etal,2013,A spatially explicit risk approach to support marine spatial planning in the German EEZ,Marine Environmental Research,86,,56-69,PubDatabase
24039,Journal Article,Giordano_etal,2008,Abundance and spatial distribution of Greater Rhea Rhea americana in two sites on the pampas grasslands with different land use,Bird Conservation International,18,1,63-70,PubDatabase
24042,Journal Article,Girardet_etal,2015,Does regional landscape connectivity influence the location of roe deer roadkill hotspots?,European Journal of Wildlife Research,61,5,731-742,PubDatabase
24050,Journal Article,Goldberg_etal,2020,Global declines in human-driven mangrove loss,Global Change Biology,,,,PubDatabase
24053,Journal Article,Gomez_etal,2014,Habitat suitability and anthropogenic correlates of Neotropical river otter (Lontra longicaudis) distribution,Journal of Mammalogy,95,4,824-833,PubDatabase
24055,Journal Article,Gomez_etal,2017,Predicted distribution of whales at risk: Identifying priority areas to enhance cetacean monitoring in the Northwest Atlantic Ocean,Endangered Species Research,32,1,437-458,PubDatabase
24060,Journal Article,González-Andrés_etal,2020,Illegal fishing in Isla del Coco National Park: Spatial-temporal distribution and the economic trade-offs,Marine Policy,119,,,PubDatabase
24062,Journal Article,Gonzalez-Quevedo_etal,2014,Predictors of malaria infection in a wild bird population: Landscape-level analyses reveal climatic and anthropogenic factors,Journal of Animal Ecology,83,5,1091-1102,PubDatabase
24064,Journal Article,Gonzalez-Suarez_etal,2013,Which intrinsic traits predict vulnerability to extinction depends on the actual threatening processes,Ecosphere,4,6,,PubDatabase
24065,Journal Article,González-Suárez_etal,2018,Spatial and species-level predictions of road mortality risk using trait data,Global Ecology and Biogeography,27,9,1093-1105,PubDatabase
24067,Journal Article,Good_etal,2020,Plastics in the Pacific: Assessing risk from ocean debris for marine birds in the California Current Large Marine Ecosystem,Biological Conservation,250,,,PubDatabase
24078,Journal Article,Graham_etal,2016,A Global-Scale Evaluation of Primate Exposure and Vulnerability to Climate Change,International Journal of Primatology,37,2,158-174,PubDatabase
24079,Journal Article,Grainger_etal,2018,Conservation status of Phasianidae in Southeast Asia,Biological Conservation,220,,60-66,PubDatabase
24086,Journal Article,Grecchi_etal,2014,Land use and land cover changes in the Brazilian Cerrado: A multidisciplinary approach to assess the impacts of agricultural expansion,Applied Geography,55,,300-312,PubDatabase
24087,Journal Article,Grech_etal,2008,A spatial assessment of the risk to a mobile marine mammal from bycatch,Aquatic Conservation: Marine and Freshwater Ecosystems,18,7,1127-1139,PubDatabase
24088,Journal Article,Grech and Marsh,2008,Rapid assessment of risks to a mobile marine mammal in an ecosystem-scale marine protected area,Conservation Biology,22,3,711-720,PubDatabase
24094,Journal Article,Grenouillet and Comte,2014,Illuminating geographical patterns in species' range shifts,Global Change Biology,20,10,3080-3091,PubDatabase
24096,Journal Article,Grigolato_etal,2018,Assessment of noise level and noise propagation generated by light-lift helicopters in mountain natural environments,Environmental Monitoring and Assessment,190,2,12,PubDatabase
24101,Journal Article,Guerra_etal,2017,Urban or rural areas: which types of surrounding land use induce stronger edge effects on the functional traits of tropical forests plants?,Applied Vegetation Science,20,4,538-548,PubDatabase
24104,Journal Article,Guerrini_etal,2019,Modeling Plastics Exposure for the Marine Biota: Risk Maps for Fin Whales in the Pelagos Sanctuary (North-Western Mediterranean),Frontiers in Marine Science,6,,10,PubDatabase
24107,Journal Article,Gül and Griffen,2018,Impacts of human disturbance on ghost crab burrow morphology and distribution on sandy shores,PLoS ONE,13,12,,PubDatabase
24108,Journal Article,Gumbs_etal,2020,Global priorities for conservation of reptilian phylogenetic diversity in the face of human impacts,Nature Communications,11,1,,PubDatabase
24110,Journal Article,Gunson_etal,2012,"A tool to prioritize high-risk road mortality locations for wetland-forest herpetofauna in southern Ontario, Canada",North-Western Journal of Zoology,8,2,409-413,PubDatabase
24112,Journal Article,Guo_etal,2005,Support vector machines for predicting distribution of Sudden Oak Death in California,Ecological Modelling,182,1,75-90,PubDatabase
24113,Journal Article,Guo_etal,2018,Land-use change interacts with climate to determine elevational species redistribution,Nature Communications,9,1,,PubDatabase
24114,Journal Article,Gutiérrez_etal,2020,Impact model of urban development on steppic birds in natura 2000 spaces,Land Use Policy,90,,,PubDatabase
24120,Journal Article,Hager_etal,2013,Window Area and Development Drive Spatial Variation in Bird-Window Collisions in an Urban Landscape,PLoS ONE,8,1,,PubDatabase
24122,Journal Article,Haines_etal,2010,Using a Distribution and Conservation Status Weighted Hotspot Approach to Identify Areas in Need of Conservation Action to Benefit Idaho Bird Species,Northwest Science,84,2,170-182,PubDatabase
24123,Journal Article,Hajiahmadi and Amanollahi,2018,Fuzzy risk assessment modelling of wild animal life in Bijar protected area,Ecological Modelling,387,,49-60,PubDatabase
24125,Journal Article,Halpern_etal,2008,A global map of human impact on marine ecosystems,Science,319,5865,948-952,PubDatabase
24126,Journal Article,Halpern_etal,2009,Global priority areas for incorporating land-sea connections in marine conservation,Conservation Letters,2,4,189-196,PubDatabase
24127,Journal Article,Halpern_etal,2009,Mapping cumulative human impacts to California Current marine ecosystems,Conservation Letters,2,3,138-148,PubDatabase
24128,Journal Article,Halpern_etal,2015,Spatial and temporal changes in cumulative human impacts on the world's ocean,Nature Communications,6,,7,PubDatabase
24129,Journal Article,Hamilton_etal,2016,Hyperstability masks declines in bumphead parrotfish (Bolbometopon muricatum) populations,Coral Reefs,35,3,751-763,PubDatabase
24133,Journal Article,Hammouda_etal,2019,Impact of agrarian practices and some pastoral uses on vegetation in Algerian steppe rangelands,Rangeland Journal,41,2,97-107,PubDatabase
24138,Journal Article,Han_etal,2019,"The effect of the grain for green program on ecosystem health in the upper reaches of the Yangtze river basin: A case study of eastern Sichuan, China",International Journal of Environmental Research and Public Health,16,12,,PubDatabase
24139,Journal Article,Han_etal,2019,Integrated modeling to identify priority areas for the conservation of the endangered plant species in headwater areas of Asia,Ecological Indicators,105,,47-56,PubDatabase
24140,Journal Article,Handley_etal,2020,Evaluating the effectiveness of a large multi-use MPA in protecting Key Biodiversity Areas for marine predators,Diversity and Distributions,26,6,715-729,PubDatabase
24145,Journal Article,Hao_etal,2018,Quantifying the effects of overgrazing on mountainous watershed vegetation dynamics under a changing climate,Science of the Total Environment,639,,1408-1420,PubDatabase
24149,Journal Article,Hari_etal,2014,"Landscape level analysis of disturbance regimes in protected areas of Rajasthan, India",Journal of Earth System Science,123,3,467-478,PubDatabase
24150,Journal Article,Harik_etal,2017,Implications of adopting a biodiversity-based vulnerability index versus a shoreline environmental sensitivity index on management and policy planning along coastal areas,Journal of Environmental Management,187,,187-200,PubDatabase
24153,Journal Article,Harris_etal,2014,Rapid deforestation threatens mid-elevational endemic birds but climate change is most important at higher elevations,Diversity and Distributions,20,7,773-785,PubDatabase
24154,Journal Article,Harris_etal,2018,Managing conflicts between economic activities and threatened migratory marine species toward creating a multiobjective blue economy,Conservation Biology,32,2,411-423,PubDatabase
24155,Journal Article,Harrison_etal,2011,Hunting of flying foxes and perception of disease risk in Indonesian Borneo,Biological Conservation,144,10,2441-2449,PubDatabase
24156,Journal Article,Harsch and Hillerislambers,2016,Climate warming and seasonal precipitation change interact to limit species distribution shifts across Western North America,PLoS ONE,11,7,,PubDatabase
24158,Journal Article,Hart_etal,2014,"Migration, foraging, and residency patterns for northern gulf loggerheads: Implications of local threats and international movements",PLoS ONE,9,7,,PubDatabase
24159,Journal Article,Hart_etal,2018,Marine threats overlap key foraging habitat for two imperiled sea turtle species in the Gulf of Mexico,Frontiers in Marine Science,5,SEP,,PubDatabase
24160,Journal Article,Hassan_etal,2018,"Rohingya refugee crisis and forest cover change in Teknaf, Bangladesh",Remote Sensing,10,5,,PubDatabase
24162,Journal Article,Hauser_etal,2018,Vulnerability of arctic marine mammals to vessel traffic in the increasingly ice-free northwest passage and Northern Sea Route,Proceedings of the National Academy of Sciences of the United States of America,115,29,7617-7622,PubDatabase
24163,Journal Article,Hausmann_etal,2019,Assessing global popularity and threats to Important Bird and Biodiversity Areas using social media data,Science of the Total Environment,683,,617-623,PubDatabase
24167,Journal Article,Hayashi_etal,2018,The effect of anthropogenic drivers on spatial patterns of mangrove land use on the Amazon coast,PLoS ONE,14,6,,PubDatabase
24169,Journal Article,Hayes_etal,2015,Seasonally-Dynamic Presence-Only Species Distribution Models for a Cryptic Migratory Bat Impacted by Wind Energy Development,Plos One,10,7,20,PubDatabase
24170,Journal Article,Haywood_etal,2016,"Mine waste disposal leads to lower coral cover, reduced species richness and a predominance of simple coral growth forms on a fringing coral reef in Papua New Guinea",Marine Environmental Research,115,,36-48,PubDatabase
24174,Journal Article,He_etal,2018,"Freshwater megafauna diversity: Patterns, status and threats",Diversity and Distributions,24,10,1395-1404,PubDatabase
24175,Journal Article,Heard_etal,2015,Refugia and connectivity sustain amphibian metapopulations afflicted by disease,Ecology Letters,18,8,853-863,PubDatabase
24177,Journal Article,Hedd_etal,2016,"Characterization of seabird bycatch in eastern Canadian waters, 1998–2011, assessed from onboard fisheries observer data",Aquatic Conservation: Marine and Freshwater Ecosystems,26,3,530-548,PubDatabase
24180,Journal Article,Hegland and Hamre,2018,Scale-dependent effects of landscape composition and configuration on deer-vehicle collisions and their relevance to mitigation and planning options,Landscape and Urban Planning,169,,178-184,PubDatabase
24184,Journal Article,Hein_etal,2015,Assessing baseline levels of coral health in a newly established marine protected area in a global scuba diving hotspot,Marine Environmental Research,103,,56-65,PubDatabase
24186,Journal Article,Heinemeyer_etal,2019,Wolverines in winter: indirect habitat loss and functional responses to backcountry recreation,Ecosphere,10,2,23,PubDatabase
24188,Journal Article,Heinrich_etal,2019,Fine-scale habitat partitioning of Chilean and Peale's dolphins and their overlap with aquaculture,Aquatic Conservation: Marine and Freshwater Ecosystems,29,S1,212-226,PubDatabase
24192,Journal Article,Helldin,2019,Predicted impacts of transport infrastructure and traffic on bird conservation in Swedish Special Protection Areas,Nature Conservation,36,,2016-01-01,PubDatabase
24194,Journal Article,Hemami_etal,2018,"Population estimate and distribution pattern of Indian Ocean humpback dolphin (Sousa plumbea) in an industrialised bay, northwestern Persian Gulf",Ecological Indicators,89,,631-638,PubDatabase
24195,Journal Article,Henriques_etal,2014,Structural and functional trends indicate fishing pressure on marine fish assemblages,Journal of Applied Ecology,51,3,623-631,PubDatabase
24197,Journal Article,Herder_etal,2012,"Alien invasion in Wallace's Dreamponds: Records of the hybridogenic ""flowerhorn"" cichlid in lake Matano, with an annotated checklist of fish species introduced to the Malili Lakes system in Sulawesi",Aquatic Invasions,7,4,521-535,PubDatabase
24199,Journal Article,Hermoso_etal,2015,Catchment zoning for freshwater conservation: Refining plans to enhance action on the ground,Journal of Applied Ecology,52,4,940-949,PubDatabase
24202,Journal Article,Hernández-Lambraño_etal,2018,Where to start? Development of a spatial tool to prioritise retrofitting of power line poles that are dangerous to raptors,Journal of Applied Ecology,55,6,2685-2697,PubDatabase
24203,Journal Article,Hernández-Matías_etal,2020,Using multi-scale spatial prioritization criteria to optimize non-natural mortality mitigation of target species,Global Ecology and Conservation,23,,,PubDatabase
24205,Journal Article,Hernout_etal,2018,Interspecific variation in the spatially-explicit risks of trace metals to songbirds,Science of the Total Environment,642,,679-689,PubDatabase
24206,Journal Article,Herr_etal,2009,Spatio-temporal associations between harbour porpoise Phocoena phocoena and specific fisheries in the German Bight,Biological Conservation,142,12,2962-2972,PubDatabase
24208,Journal Article,Hervé_etal,2016,On the importance of taking into account agricultural practices when defining conservation priorities for regional planning,Journal for Nature Conservation,33,,76-84,PubDatabase
24211,Journal Article,Hiddink_etal,2015,Temperature tracking by North Sea benthic invertebrates in response to climate change,Global Change Biology,21,1,117-129,PubDatabase
24212,Journal Article,Hierink_etal,2020,Forty-four years of global trade in CITES-listed snakes: Trends and implications for conservation and public health,Biological Conservation,248,,,PubDatabase
24215,Journal Article,Hillers_etal,2008,"Assessment of the distribution and conservation status of the viviparous toad Nimbaphrynoides occidentalis on Monts Nimba, Guinea",Endangered Species Research,5,1,13-19,PubDatabase
24222,Journal Article,Hogan_etal,2012,Estimating the cumulative ecological effect of local scale landscape changes in South Florida,Environmental Management,49,2,502-515,PubDatabase
