ArticleID,Authors,Year,Study_design,Ecoregion,Spatial_Scale,Spatial_res,Continent_Ocean,country_eez,Title
23773,Duan_etal,2020,Observational,Freshwater,National,30,asia,China,Using citizen science data to inform the relative sensitivity of waterbirds to natural versus human-dominated landscapes in China
23779,Dulvy_etal,2014,Observational,Marine,Global,,Unknown,Unknown,Extinction risk and conservation of the world's sharks and rays
23780,Duncan_etal,2014,Observational,Terrestrial,Multi-national,,africa,Algeria,Oil in the sahara: Mapping anthropogenic threats to saharan biodiversity from space
23782,Duncan_etal,2018,Observational,Terrestrial,Multi-national,62.5,south atlantic,Bangladesh,Satellite remote sensing to monitor mangrove forest resilience and resistance to sea level rise
23785,Duran,2008,Observational,Marine,Local,,north atlantic,Spain,A Case Study of available methodology for the identification of Vulnerable Ecosystems/Habitats in bottom deep-sea fisheries: Possibilities to apply this method in the NAFO Regulatory Area in order to select Marine Protected Areas
23787,Durango-Cordero_etal,2018,Observational,Freshwater,Sub-national,25,south america,Ecuador,Spatial analysis of accidental oil spills using heterogeneous data: A case study from the North-Eastern Ecuadorian Amazon
23788,Dutta_etal,2017,Observational,Terrestrial,Local,m,asia,India,"Assessing anthropogenic disturbance on forest health based on fragment grading in Durgapur Forest Range, West Bengal, India"
23790,Duvall and Barron,2000,Experimental,Freshwater,Local,,north america,United States,A screening level probabilistic risk assessment of mercury in Florida Everglades food webs
23791,Dwyer_etal,2016,Observational,Terrestrial,Sub-national,1,north america,United States,Power pole density informs spatial prioritization for mitigating avian electrocution
23793,Dzialak_etal,2011,Observational,Terrestrial,Local,,north america,United States,Identifying and prioritizing greater sage-grouse nesting and brood-rearing habitat for conservation in human-modified landscapes
23795,Easterday_etal,2016,Observational,Terrestrial,Sub-national,1,north america,United States,Assessing threats and conservation status of historical centers of oak richness in California
23796,Ebdon_etal,2020,Observational,Marine,Sub-national,250,south pacific,New Zealand,"Testing the efficacy of ship strike mitigation for whales in the Hauraki Gulf, New Zealand"
23804,Eguchi_etal,2017,Observational,Marine,Sub-national,0.5,north pacific,United States,Predicting overlap between drift gillnet fishing and leatherback turtle habitat in the California Current Ecosystem
23816,Elleouet_etal,2014,Observational,Marine,Multi-national,0.1,mediterranean,Bosnia and Herzegovina,A trait-based approach for assessing and mapping niche overlap between native and exotic species: The mediterranean coastal fish fauna as a case study
23823,Enrichetti_etal,2019,Observational,Marine,Multi-national,,mediterranean,Italy,"Assessing the environmental status of temperate mesophotic reefs: A new, integrated methodological approach"
23824,Enríquez-Andrade_etal,2005,Observational,Marine,Sub-national,,north pacific,United States,An analysis of critical areas for biodiversity conservation in the Gulf of California Region
23825,Epa and Mohotti,2016,Observational,Freshwater,Local,,asia,Sri Lanka,"Impact of fishing with Tephrosia candida (Fabaceae) on diversity and abundance of fish in the streams at the boundary of Sinharaja Man and Biosphere Forest Reserve, Sri Lanka"
23828,Erbe_etal,2014,Observational,Marine,Sub-national,25,north pacific,Canada,Identifying modeled ship noise hotspots for marine mammals of Canada's Pacific region
23832,Escobar_etal,2015,Observational,Terrestrial,Continental,21.16,asia,Unknown,Anthropogenic disturbance and habitat loss for the red-listed Asiatic black bear (Ursus thibetanus): Using ecological niche modeling and nighttime light satellite imagery
23833,Esetlili_etal,2014,Observational,Terrestrial,Local,15,asia,Turkey,Relationship between highway constructions and natural habitat. a case study of izmir highway
23836,Espinoza-Tenorio_etal,2010,Observational,Marine,Local,,north pacific,United States,Ecosystem-based analysis of a marine protected area where fisheries and protected species coexist
23838,Esselman and Allan,2011,Observational,Freshwater,Multi-national,,north america,Mexico,Application of species distribution models and conservation planning software to the design of a reserve network for the riverine fishes of northeastern Mesoamerica
23841,Estoque and Murayama,2012,Observational,Terrestrial,Local,30,asia,Philippines,"Examining the potential impact of land use/cover changes on the ecosystem services of Baguio city, the Philippines: A scenario-based analysis"
23845,Etter_etal,2011,Observational,Terrestrial,National,1,south america,Colombia,Incorporating temporality and biophysical vulnerability to quantify the human spatial footprint on ecosystems
23847,Evans_etal,2011,Observational,Terrestrial,National,,australasia,Australia,What to do in the face of multiple threats? Incorporating dependencies within a return on investment framework for conservation
23848,Evans_etal,2011,Observational,Freshwater,National,,australasia,Australia,The spatial distribution of threats to species in Australia
23854,Fa_etal,2013,Observational,Terrestrial,Multi-national,,africa,Cameroon,Mapping Hotspots of Threatened Species Traded in Bushmeat Markets in the Cross-Sanaga Rivers Region
W26589,Fabian C. Kyne_etal,2020,Observational,Marine,Multi-national,,north atlantic,Anguilla,Managing invasive lionfish in Belize's Marine Protected Areas
23855,Fabrizio_etal,2019,Observational,Terrestrial,Sub-national,40,europe,Italy,Where will it cross next? Optimal management of road collision risk for otters in Italy
23856,Fabrizio_etal,2019,Observational,Terrestrial,Sub-national,1,europe,Italy,Habitat suitability vs landscape connectivity determining roadkill risk at a regional scale: a case study on European badger (Meles meles)
23858,Fakarayi_etal,2015,Observational,Terrestrial,Local,,africa,Zimbabwe,"Pattern of land-use and land cover changes in driefontein grassland important bird area, Zimbabwe"
23864,Farella_etal,2020,Observational,Marine,Local,250,mediterranean,Italy,Incorporating ecosystem services conservation into a scenario-based MSP framework: An Adriatic case study
23865,Farfán_etal,2019,Observational,Terrestrial,Local,0.25,africa,Cameroon,"Spatial modelling for predicting potential wildlife distributions and human impacts in the Dja Forest Reserve, Cameroon"
23866,Fargione_etal,2012,Observational,Terrestrial,Sub-national,200,north america,United States,Wind and wildlife in the Northern Great Plains: Identifying low-impact areas for wind development
23867,Farizal_etal,2020,Observational,Terrestrial,Local,,asia,Indonesia,"Analysis of the Mount Tunggangan Wildlife Reserve Area Arrangement, Sragen, Central Java using Geographic Information Systems (GIS) with Ecological Sensitivity and Ecological Pressure Approaches"
23868,Fasola and Roesler,2018,Observational,Terrestrial,Sub-national,2500,south america,Argentina,A familiar face with a novel behavior raises challenges for conservation: American mink in arid Patagonia and a critically endangered bird
23869,Fassnacht_etal,2015,Observational,Terrestrial,Sub-national,30,asia,China,Mapping degraded grassland on the Eastern Tibetan Plateau with multi-temporal Landsat 8 data - where do the severely degraded areas occur?
23870,Fauzi_etal,2019,Observational,Terrestrial,Multi-national,1,south china sea,Myanmar,Contextualizing Mangrove Forest Deforestation in Southeast Asia Using Environmental and Socio-Economic Data Products
23871,Favilli_etal,2018,Observational,Terrestrial,Sub-national,,europe,Italy,"Application of KDE plus software to identify collective risk hotspots of ungulate-vehicle collisions in South Tyrol, Northern Italy"
23877,Feist_etal,2011,Observational,Marine,Local,30,north pacific,United States,Landscape ecotoxicology of coho salmon spawner mortality in urban streams
23879,Feitosa_etal,2018,Observational,Marine,Sub-national,,north atlantic,Brazil,DNA-based identification reveals illegal trade of threatened shark species in a global elasmobranch conservation hotspot
23881,Felton Annika_etal,2013,Observational,Terrestrial,Multi-national,,south america,Bolivia,Commercial harvesting of Ficus timber–An emerging threat to frugivorous wildlife and sustainable forestry
23888,Fernandes_etal,2017,Observational,Marine,National,25,north atlantic,Portugal,How does the cumulative impacts approach support Maritime Spatial Planning?
23889,Fernandes_etal,2020,Observational,Marine,National,,north atlantic,Portugal,Mapping the future: Pressures and impacts in the Portuguese maritime spatial planning
23891,Fernández-Bellon,2020,S_Review,Terrestrial,Global,,Unknown,Unknown,Limited accessibility and bias in wildlife-wind energy knowledge: A bilingual systematic review of a globally distributed bird group
25210,Ferrarini_etal,2021,Observational,Terrestrial,Sub-national,,europe,Italy,Preserving the Mediterranean bird flyways: Assessment and prioritization of 38 main wetlands under human and climate threats in Sardinia and Sicily (Italy)
23893,Ferreguetti Á_etal,2018,Observational,Terrestrial,Local,,south america,Brazil,One step ahead to predict potential poaching hotspots: Modeling occupancy and detectability of poachers in a neotropical rainforest
23903,Filius_etal,2020,Observational,Terrestrial,Local,,south america,Ecuador,Wildlife roadkill patterns in a fragmented landscape of the Western Amazon
23904,Findlay_etal,2018,Observational,Marine,Sub-national,25,north atlantic,United Kingdom,Mapping widespread and increasing underwater noise pollution from acoustic deterrent devices
23905,Finer_etal,2008,Observational,Terrestrial,Multi-national,,south america,Brazil,"Oil and gas projects in the Western Amazon: Threats to wilderness, biodiversity, and indigenous peoples"
23906,Fiorini_etal,2017,Observational,Terrestrial,Sub-national,,europe,Italy,Urban development of the coastal system of the Italian largest islands: Sicily and Sardinia
23909,Flechas_etal,2017,Observational,Terrestrial,Sub-national,,south america,Colombia,"Current and predicted distribution of the pathogenic fungus Batrachochytrium dendrobatidis in Colombia, a hotspot of amphibian biodiversity"
23912,Flory_etal,2012,Observational,Terrestrial,Sub-national,,north america,United States,Environmental conditions associated with bat white-nose syndrome mortality in the north-eastern United States
23913,Floyd_etal,2006,Observational,Terrestrial,Local,,north america,United States,"Predicting and mitigating weed invasions to restore natural post-fire succession in Mesa Verde National Park, Colorado, USA"
23915,Focardi_etal,2006,Observational,Freshwater,Multi-national,,africa,Kenya,Integrating remote sensing approach with pollution monitoring tools for aquatice ecosystem risk assessment and managment: A case study of Lake Victoria (UGANDA)
23917,Foden_etal,2013,Observational,Freshwater,Global,1,Unknown,Unknown,"Identifying the World's Most Climate Change Vulnerable Species: A Systematic Trait-Based Assessment of all Birds, Amphibians and Corals"
23920,Fonnesbeck_etal,2008,Observational,Marine,Local,16,north atlantic,United States,Bayesian hierarchichal model for evaluating the risk of vessel strikes on North Atlantic right whales in the SE United States
23922,Foo and Numata,2019,Observational,Terrestrial,Local,30,asia,Malaysia,"Deforestation and forest fragmentation in and around Endau-Rompin National Park, Peninsular Malaysia"
23927,Fort_etal,2013,Observational,Marine,Multi-national,,arctic ocean,Greenland,Multicolony tracking reveals potential threats to little auks wintering in the North Atlantic from marine pollution and shrinking sea ice cover
23929,Fortini Lucas_etal,2019,Observational,Terrestrial,Sub-national,500,north america,United States,The evolving threat of Rapid ‘?hi ‘a Death (ROD) to Hawai ‘i’s native ecosystems and rare plant species
23932,Foveau_etal,2017,Observational,Marine,Sub-national,0.03,north atlantic,United Kingdom,Process-driven and biological characterisation and mapping of seabed habitats sensitive to trawling
23936,Foxcroft_etal,2007,Observational,Freshwater,Sub-national,,africa,South Africa,Risk assessment of riparian plant invasions into protected areas
23937,Foxcroft_etal,2009,Observational,Freshwater,Sub-national,25,africa,South Africa,"Patterns of alien plant distribution at multiple spatial scales in a large national park: implications for ecology, management and monitoring"
23938,Francesco_etal,2019,Observational,Terrestrial,Local,,europe,Italy,"Geographical Relationship between Ungulates, Human Pressure and Territory"
23941,Fraschetti_etal,2016,Observational,Marine,Local,,mediterranean,Italy,Impact of offshore gas platforms on the structural and functional biodiversity of nematodes
23946,Fremout_etal,2020,Observational,Terrestrial,Multi-national,30,south america,Ecuador,Mapping tree species vulnerability to multiple threats as a guide to restoration and conservation of tropical dry forests
23951,Fryxell_etal,2020,Observational,Terrestrial,Sub-national,,north america,Canada,Anthropogenic Disturbance and Population Viability of Woodland Caribou in Ontario
23953,Fuentes_etal,2016,Observational,Terrestrial,Sub-national,m,north atlantic,United States,Conservation hotspots for marine turtle nesting in the United States based on coastal development
23955,Fugère_etal,2018,Observational,Freshwater,Local,,africa,Uganda,Ecosystem structure and function of afrotropical streams with contrasting land use
23957,Furlan_etal,2018,Observational,Marine,Multi-national,100,mediterranean,Italy,Spatially explicit risk approach for multi-hazard assessment and management in marine environment: The case study of the Adriatic Sea
23958,Furlan_etal,2019,Observational,Marine,Multi-national,,mediterranean,Italy,Cumulative Impact Index for the Adriatic Sea: Accounting for interactions among climate and anthropogenic pressures
23960,Gabriel_etal,2012,Observational,Terrestrial,Sub-national,,north america,United States,Anticoagulant rodenticides on our public and community lands: Spatial distribution of exposure and poisoning of a rare forest carnivore
23964,Gaines_etal,2005,Observational,Freshwater,Local,10,north america,United States,The development of a spatially explicit model to estimate radiocaesium body burdens in raccoons (Procyon lotor) for ecological risk assessment
23967,Gairola_etal,2016,Observational,Terrestrial,Local,0.5,africa,South Africa,Remote sensing object-oriented approaches coupled with ecological informatics to map invasive plant species
23968,Gaisberger_etal,2017,Observational,Terrestrial,Sub-national,2.5,africa,Burkina Faso,Spatially explicit multi-threat assessment of food tree species in Burkina Faso: A fine-scale approach
23969,Gaisberger_etal,2020,Observational,Terrestrial,Multi-national,30,asia,Kyrgyzstan,Diversity Under Threat: Connecting Genetic Diversity and Threat Mapping to Set Conservation Priorities for Juglans regia L. Populations in Central Asia
23977,Gallagher_etal,2019,Observational,Terrestrial,Continental,10000,australasia,Australia,Safety margins and adaptive capacity of vegetation to climate change
23975,Gallagher_etal,2008,Observational,Terrestrial,Local,10,north america,United States,Soil metal concentrations and vegetative assemblage structure in an urban brownfield
23978,Gallão and Bichuette,2018,Observational,Terrestrial,Sub-national,,south america,Brazil,Brazilian obligatory subterranean fauna and threats to the hypogean environment
23979,Gallardo and Aldridge,2013,Observational,Freshwater,Continental,16,europe,Unknown,Evaluating the combined threat of climate change and biological invasions on endangered species
23980,Gallardo_etal,2017,Observational,Freshwater,Continental,30,europe,Unknown,Protected areas offer refuge from invasive species spreading under climate change
23982,Gallego-Zamorano_etal,2020,Observational,Terrestrial,Global,30,Unknown,Unknown,Combined effects of land use and hunting on distributions of tropical mammals
23985,Gaoue and Ticktin,2007,Observational,Terrestrial,National,,africa,Benin,Patterns of harvesting foliage and bark from the multipurpose tree Khaya senegalensis in Benin: Variation across ecological regions and its impacts on population structure
23988,Garcês_etal,2019,Observational,Terrestrial,Sub-national,,europe,Portugal,Preservation of wild bird species in northern Portugal - Effects of anthropogenic pressures in wild bird populations (2008–2017)
23989,Garcia_etal,2014,Observational,Freshwater,Multi-national,1,africa,Angola,Matching species traits to projected threats and opportunities from climate change
23991,García-Barcelona_etal,2010,Observational,Marine,Sub-national,,mediterranean,Spain,Modelling abundance and distribution of seabird by-catch in the Spanish mediterranean longline fishery
23992,Garcia-Carrasco_etal,2020,Observational,Terrestrial,Local,,south america,Ecuador,Roadkill of birds in Galapagos Islands: a growing need for solutions
23993,Garcia-De-Vinuesa_etal,2018,Observational,Marine,Local,1,mediterranean,Spain,Linking trawl fleet dynamics and the spatial distribution of exploited species can help to avoid unwanted catches: The case of the NW mediterranean fishing grounds
23997,Gargan_etal,2011,Observational,Freshwater,Local,,europe,Ireland,"Comparison of field- and GIS-based assessments of barriers to Atlantic salmon migration: A case study in the Nore Catchment, Republic of Ireland"
24000,Garrard_etal,2016,Observational,Terrestrial,Local,200,asia,Nepal,"Land Use and Land Cover Change in Sagarmatha National Park, a World Heritage Site in the Himalayas of Eastern Nepal"
24001,Garratt_etal,2019,Observational,Terrestrial,Local,6,north atlantic,United Kingdom,Mapping the consequences of artificial light at night for intertidal ecosystems
24003,Garrote_etal,2018,Observational,Terrestrial,Sub-national,,europe,Spain,Prediction of iberian lynx road–mortality in southern Spain: A new approach using the MaxEnt algorithm
24013,Genovart_etal,2017,Observational,Marine,Multi-national,0.1,mediterranean,Spain,Differential adult survival at close seabird colonies: The importance of spatial foraging segregation and bycatch risk during the breeding season
24016,Gerlach,2002,Observational,Terrestrial,Local,,north america,United States,Alien plant species threat assessment and management prioritization for Sequoia-Kings Canyon and Yosemite National Parks
24024,Ghorbani_etal,2014,Observational,Terrestrial,Sub-national,,asia,Iran,Wild orchid tuber collection in Iran: A wake-up call for conservation
24025,Ghulam_etal,2015,Observational,Terrestrial,Local,30,africa,Madagascar,Remote Sensing Based Spatial Statistics to Document Tropical Rainforest Transition Pathways
24029,Gibson_etal,2018,Observational,Terrestrial,Local,,north america,United States,Effects of power lines on habitat use and demography of greater sage-grouse (Centrocercus urophasianus)
24030,Giersch_etal,2015,Observational,Terrestrial,Local,,north america,United States,Climate-induced range contraction of a rare alpine aquatic invertebrate
24034,Gillen and Kiviat,2012,Observational,Terrestrial,Sub-national,,north america,United States,Environmental reviews and case studies: Hydraulic fracturing threats to species with restricted geographic ranges in the Eastern United States
24036,Gilman_etal,2008,Experimental,Marine,Local,,north pacific,Hawaii,Reducing seabird bycatch in the Hawaii longline tuna fishery
24038,Gimpel_etal,2013,Observational,Marine,Local,5,north atlantic,Germany,A spatially explicit risk approach to support marine spatial planning in the German EEZ
24039,Giordano_etal,2008,Observational,Terrestrial,Local,,south america,Argentina,Abundance and spatial distribution of Greater Rhea Rhea americana in two sites on the pampas grasslands with different land use
24042,Girardet_etal,2015,Observational,Terrestrial,Sub-national,10,europe,France,Does regional landscape connectivity influence the location of roe deer roadkill hotspots?
24050,Goldberg_etal,2020,Observational,Marine,Global,30,Unknown,Unknown,Global declines in human-driven mangrove loss
24053,Gomez_etal,2014,Observational,Freshwater,Local,0.05,south america,Argentina,Habitat suitability and anthropogenic correlates of Neotropical river otter (Lontra longicaudis) distribution
24055,Gomez_etal,2017,Observational,Marine,Sub-national,1,north atlantic,Canada,Predicted distribution of whales at risk: Identifying priority areas to enhance cetacean monitoring in the Northwest Atlantic Ocean
24060,González-Andrés_etal,2020,Observational,Marine,Local,0.03,north pacific,Costa Rica,Illegal fishing in Isla del Coco National Park: Spatial-temporal distribution and the economic trade-offs
24062,Gonzalez-Quevedo_etal,2014,Observational,Terrestrial,Sub-national,,europe,Spain,Predictors of malaria infection in a wild bird population: Landscape-level analyses reveal climatic and anthropogenic factors
24064,Gonzalez-Suarez_etal,2013,Observational,Marine,Global,2,Unknown,Unknown,Which intrinsic traits predict vulnerability to extinction depends on the actual threatening processes
24065,González-Suárez_etal,2018,Observational,Terrestrial,National,1,south america,Brazil,Spatial and species-level predictions of road mortality risk using trait data
24067,Good_etal,2020,Observational,Marine,Sub-national,4.8,north pacific,United States,Plastics in the Pacific: Assessing risk from ocean debris for marine birds in the California Current Large Marine Ecosystem
24078,Graham_etal,2016,Observational,Terrestrial,Global,1,Unknown,Unknown,A Global-Scale Evaluation of Primate Exposure and Vulnerability to Climate Change
24079,Grainger_etal,2018,Observational,Terrestrial,Multi-national,1,asia,Myanmar,Conservation status of Phasianidae in Southeast Asia
24086,Grecchi_etal,2014,Observational,Freshwater,Sub-national,,south america,Brazil,Land use and land cover changes in the Brazilian Cerrado: A multidisciplinary approach to assess the impacts of agricultural expansion
24088,Grech and Marsh,2008,Observational,Marine,Sub-national,,south pacific,Australia,Rapid assessment of risks to a mobile marine mammal in an ecosystem-scale marine protected area
24087,Grech_etal,2008,Observational,Marine,Sub-national,,south pacific,Australia,A spatial assessment of the risk to a mobile marine mammal from bycatch
24094,Grenouillet and Comte,2014,Observational,Freshwater,National,64,europe,France,Illuminating geographical patterns in species' range shifts
24096,Grigolato_etal,2018,Observational,Terrestrial,Local,,europe,Italy,Assessment of noise level and noise propagation generated by light-lift helicopters in mountain natural environments
24101,Guerra_etal,2017,Observational,Terrestrial,Local,,south america,Brazil,Urban or rural areas: which types of surrounding land use induce stronger edge effects on the functional traits of tropical forests plants?
24104,Guerrini_etal,2019,Observational,Marine,Sub-national,,europe,Italy,Modeling Plastics Exposure for the Marine Biota: Risk Maps for Fin Whales in the Pelagos Sanctuary (North-Western Mediterranean)
24107,Gül and Griffen,2018,Observational,Marine,Local,,north america,United States,Impacts of human disturbance on ghost crab burrow morphology and distribution on sandy shores
24108,Gumbs_etal,2020,Observational,Terrestrial,Global,1,Unknown,Unknown,Global priorities for conservation of reptilian phylogenetic diversity in the face of human impacts
24110,Gunson_etal,2012,Observational,Terrestrial,Local,15,north america,Canada,"A tool to prioritize high-risk road mortality locations for wetland-forest herpetofauna in southern Ontario, Canada"
24113,Guo_etal,2018,Observational,Terrestrial,Global,0.5,Unknown,Unknown,Land-use change interacts with climate to determine elevational species redistribution
24112,Guo_etal,2005,Observational,Terrestrial,Sub-national,1,north america,United States,Support vector machines for predicting distribution of Sudden Oak Death in California
24114,Gutiérrez_etal,2020,Observational,Terrestrial,Local,1,europe,Spain,Impact model of urban development on steppic birds in natura 2000 spaces
24120,Hager_etal,2013,Observational,Terrestrial,Local,,north america,United States,Window Area and Development Drive Spatial Variation in Bird-Window Collisions in an Urban Landscape
24122,Haines_etal,2010,Observational,Terrestrial,Sub-national,90,north america,United States,Using a Distribution and Conservation Status Weighted Hotspot Approach to Identify Areas in Need of Conservation Action to Benefit Idaho Bird Species
24123,Hajiahmadi and Amanollahi,2018,Observational,Terrestrial,Local,,asia,Indonesia,Fuzzy risk assessment modelling of wild animal life in Bijar protected area
24125,Halpern_etal,2008,Observational,Marine,Global,,Unknown,Unknown,A global map of human impact on marine ecosystems
24126,Halpern_etal,2009,Observational,Marine,Global,,Unknown,Unknown,Global priority areas for incorporating land-sea connections in marine conservation
24128,Halpern_etal,2015,Observational,Marine,Global,1,Unknown,Unknown,Spatial and temporal changes in cumulative human impacts on the world's ocean
24127,Halpern_etal,2009,Observational,Marine,Sub-national,1,north pacific,United States,Mapping cumulative human impacts to California Current marine ecosystems
24129,Hamilton_etal,2016,Observational,Marine,Local,,south pacific,Solomon Islands,Hyperstability masks declines in bumphead parrotfish (Bolbometopon muricatum) populations
24133,Hammouda_etal,2019,Observational,Terrestrial,Local,,africa,Algeria,Impact of agrarian practices and some pastoral uses on vegetation in Algerian steppe rangelands
24138,Han_etal,2019,Observational,Freshwater,Sub-national,16,asia,China,"The effect of the grain for green program on ecosystem health in the upper reaches of the Yangtze river basin: A case study of eastern Sichuan, China"
24139,Han_etal,2019,Observational,Terrestrial,Sub-national,km2,asia,China,Integrated modeling to identify priority areas for the conservation of the endangered plant species in headwater areas of Asia
24140,Handley_etal,2020,Observational,Marine,Sub-national,,southern ocean,South Georgia and the South Sandwich Islands,Evaluating the effectiveness of a large multi-use MPA in protecting Key Biodiversity Areas for marine predators
24145,Hao_etal,2018,Observational,Terrestrial,Sub-national,1,asia,China,Quantifying the effects of overgrazing on mountainous watershed vegetation dynamics under a changing climate
24149,Hari_etal,2014,Observational,Terrestrial,Sub-national,500,asia,India,"Landscape level analysis of disturbance regimes in protected areas of Rajasthan, India"
24150,Harik_etal,2017,Observational,Terrestrial,Local,15,africa,France,Implications of adopting a biodiversity-based vulnerability index versus a shoreline environmental sensitivity index on management and policy planning along coastal areas
24153,Harris_etal,2014,Observational,Terrestrial,Local,30,asia,Indonesia,Rapid deforestation threatens mid-elevational endemic birds but climate change is most important at higher elevations
24154,Harris_etal,2017,Observational,Marine,Multi-national,5,indian ocean,South Africa,Managing conflicts between economic activities and threatened migratory marine species toward creating a multiobjective blue economy
24155,Harrison_etal,2011,Observational,Terrestrial,Sub-national,,asia,Indonesia,Hunting of flying foxes and perception of disease risk in Indonesian Borneo
24156,Harsch and Hillerislambers,2016,Observational,Terrestrial,Sub-national,,north america,Canada,Climate warming and seasonal precipitation change interact to limit species distribution shifts across Western North America
24158,Hart_etal,2014,Observational,Marine,Sub-national,100,north atlantic,United States,"Migration, foraging, and residency patterns for northern gulf loggerheads: Implications of local threats and international movements"
24159,Hart_etal,2018,Observational,Marine,Sub-national,100,north atlantic,United States,Marine threats overlap key foraging habitat for two imperiled sea turtle species in the Gulf of Mexico
24160,Hassan_etal,2018,Observational,Terrestrial,Local,10,asia,Bangladesh,"Rohingya refugee crisis and forest cover change in Teknaf, Bangladesh"
24162,Hauser_etal,2018,Observational,Marine,Multi-national,,arctic ocean,Canada,Vulnerability of arctic marine mammals to vessel traffic in the increasingly ice-free northwest passage and Northern Sea Route
24163,Hausmann_etal,2019,Observational,Terrestrial,Global,1,Unknown,Unknown,Assessing global popularity and threats to Important Bird and Biodiversity Areas using social media data
24167,Hayashi_etal,2018,Observational,Terrestrial,Sub-national,5,south america,Brazil,The effect of anthropogenic drivers on spatial patterns of mangrove land use on the Amazon coast
24169,Hayes_etal,2015,Observational,Terrestrial,Multi-national,1,north america,Canada,Seasonally-Dynamic Presence-Only Species Distribution Models for a Cryptic Migratory Bat Impacted by Wind Energy Development
24170,Haywood_etal,2016,Observational,Marine,Local,,south pacific,Papua New Guinea,"Mine waste disposal leads to lower coral cover, reduced species richness and a predominance of simple coral growth forms on a fringing coral reef in Papua New Guinea"
24174,He_etal,2018,Observational,Freshwater,Global,10,Unknown,Unknown,"Freshwater megafauna diversity: Patterns, status and threats"
24175,Heard_etal,2015,Observational,Freshwater,Local,,australasia,Australia,Refugia and connectivity sustain amphibian metapopulations afflicted by disease
24177,Hedd_etal,2016,Observational,Marine,Sub-national,10000,arctic ocean,Canada,"Characterization of seabird bycatch in eastern Canadian waters, 1998–2011, assessed from onboard fisheries observer data"
24180,Hegland and Hamre,2018,Observational,Terrestrial,Sub-national,,europe,Norway,Scale-dependent effects of landscape composition and configuration on deer-vehicle collisions and their relevance to mitigation and planning options
24184,Hein_etal,2015,Observational,Marine,Local,,south china sea,Thailand,Assessing baseline levels of coral health in a newly established marine protected area in a global scuba diving hotspot
24186,Heinemeyer_etal,2019,Observational,Terrestrial,Sub-national,,north america,United States,Wolverines in winter: indirect habitat loss and functional responses to backcountry recreation
24188,Heinrich_etal,2019,Observational,Marine,Local,,south pacific,Chile,Fine-scale habitat partitioning of Chilean and Peale's dolphins and their overlap with aquaculture
24192,Helldin,2019,Observational,Terrestrial,National,,europe,Sweden,Predicted impacts of transport infrastructure and traffic on bird conservation in Swedish Special Protection Areas
24194,Hemami_etal,2018,Observational,Marine,Local,4,indian ocean,Iran,"Population estimate and distribution pattern of Indian Ocean humpback dolphin (Sousa plumbea) in an industrialised bay, northwestern Persian Gulf"
24195,Henriques_etal,2014,Observational,Marine,National,1,north atlantic,Portugal,Structural and functional trends indicate fishing pressure on marine fish assemblages
24197,Herder_etal,2012,Observational,Freshwater,Local,,asia,Indonesia,"Alien invasion in Wallace's Dreamponds: Records of the hybridogenic ""flowerhorn"" cichlid in lake Matano, with an annotated checklist of fish species introduced to the Malili Lakes system in Sulawesi"
24199,Hermoso_etal,2015,Observational,Freshwater,Sub-national,,australasia,Australia,Catchment zoning for freshwater conservation: Refining plans to enhance action on the ground
24202,Hernández-Lambraño_etal,2018,Observational,Terrestrial,Sub-national,20,europe,Spain,Where to start? Development of a spatial tool to prioritise retrofitting of power line poles that are dangerous to raptors
24203,Hernández-Matías_etal,2020,Observational,Terrestrial,Sub-national,100,europe,Spain,Using multi-scale spatial prioritization criteria to optimize non-natural mortality mitigation of target species
24205,Hernout_etal,2018,Observational,Terrestrial,National,100,europe,United Kingdom,Interspecific variation in the spatially-explicit risks of trace metals to songbirds
24206,Herr_etal,2009,Observational,Marine,Sub-national,36,north atlantic,Germany,Spatio-temporal associations between harbour porpoise Phocoena phocoena and specific fisheries in the German Bight
24208,Hervé_etal,2016,Observational,Freshwater,Sub-national,100,europe,France,On the importance of taking into account agricultural practices when defining conservation priorities for regional planning
24211,Hiddink_etal,2015,Observational,Marine,Multi-national,0.2,north atlantic,United Kingdom,Temperature tracking by North Sea benthic invertebrates in response to climate change
24212,Hierink_etal,2020,Observational,Terrestrial,Global,,Unknown,Unknown,Forty-four years of global trade in CITES-listed snakes: Trends and implications for conservation and public health
24215,Hillers_etal,2008,Observational,Terrestrial,Local,m,africa,Guinea,"Assessment of the distribution and conservation status of the viviparous toad Nimbaphrynoides occidentalis on Monts Nimba, Guinea"
24222,Hogan_etal,2012,Observational,Freshwater,Sub-national,30,north america,United States,Estimating the cumulative ecological effect of local scale landscape changes in South Florida
W26586,Hogg_etal,2010,Observational,Marine,Sub-national,,arctic ocean,Canada,Deep-sea sponge grounds: Reservoirs of Biodiversity
24227,Holon_etal,2015,Observational,Marine,Sub-national,20,mediterranean,France,Fine-scale cartography of human impacts along French Mediterranean coasts: A relevant map for the management of marine ecosystems
24228,Holon_etal,2015,Observational,Marine,Local,25,mediterranean,France,The impact of 85 years of coastal development on shallow seagrass beds (Posidonia oceanica L. (Delile)) in South Eastern France: A slow but steady loss without recovery
24229,Holon_etal,2018,Observational,Marine,Multi-national,50,mediterranean,France,A predictive model based on multiple coastal anthropogenic pressures explains the degradation status of a marine ecosystem: Implications for management and conservation
