ArticleID,Authors,Year,Study_design,Ecoregion,Spatial_Scale,Spatial_res,Continent_Ocean,country_eez,Title,Threat,Threat1,Threat_metric,Threat_data,Quantity_threats,threat_precision,threat_database,Threat_decoded,Threat1_decoded,Georef_ind_driver,Direct_driver,Indirect_driver
23402,Buma_etal,2017,Observational,Terrestrial,Sub-national,,north america,United States,Emerging climate-driven disturbance processes: widespread mortality associated with snow-to-rain transitions across 10 degrees of latitude and half the range of a climate-threatened conifer,11.3:CC_Temp,11,literature; modelled,Qualitative,1,level2,,Temperature Extremes,Climate Change & Severe Weather,1,climate_change;direct_exploitation;direct_exploitation,society_and_culture
23404,Bungnamei and Saikia,2020,Observational,Terrestrial,Local,60,asia,India,"PARK IN THE PERIPHERY: LAND USE AND LAND COVER CHANGE AND FOREST FRAGMENTATION IN AND AROUND YANGOUPOKPI LOKCHAO WILDLIFE SANCTUARY, MANIPUR, INDIA",1.4:DevUnspec,1,rs,Qualitative,1,level1,,Development (Unspecified),Residential & Commercial Development,1;0,land/sea_use_change;pollution;pollution,society_and_culture;technology
23405,Burdett_etal,2010,Observational,Terrestrial,Sub-national,100,north america,United States,Interfacing models of wildlife habitat and human development to predict the future distribution of puma habitat,1.1:DevResid; 1.4:DevUnspec; 4.1:RoadRail,1; 4,modelled,Quantitative,2,level2,,Development (Unspecified); Housing & Urban Areas; Roads & Railroads,Residential & Commercial Development; Transportation & Service Corridors,1,climate_change;climate_change;direct_exploitation;invasive_and_alien_species,technology
23407,Burgess_etal,2016,Observational,Marine,Sub-national,90,north pacific,United States,Tracking diseases from terrestrial landscapes to kelp forests:Combining behavioural ecology and spatial epidemiology to understand pathogen movement in coastal ecosystems,8.1:SDAlienInv,8,modelled,Qualitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species,0,climate_change,conflits_and_epidemics
23409,Burivalova_etal,2020,Observational,Terrestrial,Sub-national,30,asia,Indonesia,Does biodiversity benefit when the logging stops? An analysis of conservation risks and opportunities in active versus inactive logging concessions in Borneo,2.1:AgNTC; 5.3:UseWood,2; 5,rs,Qualitative,2,level2,,Annual & Perennial Non-Timber Crops; Logging & Wood Harvesting,Agriculture & Aquaculture; Biological Resource Use,0,direct_exploitation,conflits_and_epidemics;demographic
23412,Burton_etal,2012,Observational,Terrestrial,Local,500,africa,Ghana,"Hierarchical multi-species modeling of carnivore responses to hunting, habitat and prey in a West African protected area",5.1:UseAnimals,5,survey,Quantitative,1,level2,,Hunting & Collecting Animals,Biological Resource Use,1;0,invasive_and_alien_species,conflits_and_epidemics;demographic;economic
23418,Butsic_etal,2015,Observational,Terrestrial,National,,africa,DRC,"Conservation and conflict in the Democratic Republic of Congo: The impacts of warfare, mining, and protected areas on deforestation",3.2:MinQuar; 6.2:WarConflict,3; 6,database,Quantitative,2,level2,ACLED_Raleigh_2010; ipisresearch.be,"Mining & Quarrying; War, Civil Unrest & Military Exercises",Energy Production & Mining; Human Intrusions & Disturbance,1,land/sea_use_change,conflits_and_epidemics;demographic;governance_and_institutions
23424,Cadima_etal,2014,Observational,Terrestrial,National,5,south america,Bolivia,Endemic wild potato (Solanum spp.) biodiversity status in Bolivia: Reasons for conservation concerns,1.2:DevComInd; 2.1:AgNTC; 2.3:AgLivestock; 3.1:OilGas,1; 2; 3,database; literature,Quantitative,4,cumulative,FAO; King'sCollegeDatabaseofDams; WorldPetroleumAssessment,Annual & Perennial Non-Timber Crops; Commercial & Industrial Areas; Livestock Farming & Ranching; Oil & Gas Drilling,Agriculture & Aquaculture; Energy Production & Mining; Residential & Commercial Development,1,pollution,conflits_and_epidemics;demographic;society_and_culture
23428,Callan_etal,2020,Observational,Terrestrial,Local,2.5,asia,China,Free-roaming dogs limit habitat use of giant pandas in nature reserves,8.1:SDAlienInv,8,rs; survey,Quantitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species,1,climate_change;direct_exploitation,conflits_and_epidemics;demographic;technology
23429,Calle-Rendón_etal,2018,Observational,Terrestrial,National,0.1,south america,Colombia,Vulnerability of mammals to land-use changes in Colombia's post-conflict era,6.2:WarConflict,6,database,Qualitative,1,level2,DANE2017,"War, Civil Unrest & Military Exercises",Human Intrusions & Disturbance,1;na,climate_change;invasive_and_alien_species,conflits_and_epidemics;economic
23430,Calvert_etal,2005,Observational,Terrestrial,Sub-national,,north america,Canada,Spatiotemporal heterogeneity of greater snow goose harvest and implications for hunting regulations,5.1:UseAnimals,5,database,Quantitative,1,level2,BirdBandingLaboratory_USGS,Hunting & Collecting Animals,Biological Resource Use,0,climate_change;land/sea_use_change,conflits_and_epidemics;economic;governance_and_institutions
23438,Campana_etal,2018,Observational,Marine,Multi-national,25,mediterranean,Spain,Seasonal patterns of floating macro-litter across the Western Mediterranean Sea: a potential threat for cetacean species,9.4:PollGarbSW,9,survey,Quantitative,1,level2,,Garbage & Solid Waste,Pollution,1,climate_change;pollution,conflits_and_epidemics;economic;society_and_culture
23448,Cao_etal,2020,Observational,Terrestrial,Sub-national,0.25,asia,China,"Ozone pollution in the west China rain zone and its adjacent regions, Southwestern China: Concentrations, ecological risk, and Sources",9.5:PollAir,9,survey,Quantitative,1,level2,,Air-Borne Pollutants,Pollution,0,direct_exploitation;invasive_and_alien_species,conflits_and_epidemics;economic;technology
23449,Caorsi_etal,2014,Observational,Freshwater,Local,,south america,Brazil,"Natural history, coloration pattern and conservation status of the threatened South Brazilian red bellied toad, Melanophryniscus macrogranulosus Braun, 1973 (Anura, Bufonidae)",2.1:AgNTC; 2.3:AgLivestock,2,survey,Qualitative,2,level2,,Annual & Perennial Non-Timber Crops; Livestock Farming & Ranching,Agriculture & Aquaculture,1,direct_exploitation;land/sea_use_change,conflits_and_epidemics;governance_and_institutions
23452,Carassou_etal,2013,Observational,Marine,National,,south pacific,New Caledonia,Does Herbivorous Fish Protection Really Improve Coral Reef Resilience? A Case Study from New Caledonia (South Pacific),5.4:UseAquatic,5,literature,Qualitative,1,level2,,Fishing & Harvesting Aquatic Resources,Biological Resource Use,1;0,direct_exploitation;pollution,conflits_and_epidemics;governance_and_institutions;society_and_culture
23454,Cardoso_etal,2018,Observational,Terrestrial,Sub-national,0.2,south america,Brazil,Anthropic Pressure on the Diversity of Cactaceae in a Region of Atlantic Forest in Eastern Brazil,1.2:DevComInd; 2.1:AgNTC; 3.2:MinQuar,1; 2; 3,survey,Qualitative,3,level2,,Annual & Perennial Non-Timber Crops; Commercial & Industrial Areas; Mining & Quarrying,Agriculture & Aquaculture; Energy Production & Mining; Residential & Commercial Development,1,invasive_and_alien_species;land/sea_use_change,conflits_and_epidemics;governance_and_institutions;technology
23456,Carle_etal,2019,Observational,Marine,Sub-national,,south pacific,Chile,Overlap of Pink-footed Shearwaters and central Chilean purse-seine fisheries: Implications for bycatch risk,5.4:UseAquatic,5,database,Quantitative,1,level2,GovernmentRepository,Fishing & Harvesting Aquatic Resources,Biological Resource Use,1;0,invasive_and_alien_species;pollution,conflits_and_epidemics;society_and_culture
23461,Caro_etal,2020,Observational,Terrestrial,Sub-national,,africa,Tanzania,A case study of the coconut crab Birgus latro on Zanzibar highlights global threats and conservation solutions,5.4:UseAquatic,5,expert,Quantitative,1,level2,,Fishing & Harvesting Aquatic Resources,Biological Resource Use,1,land/sea_use_change;pollution,conflits_and_epidemics;society_and_culture;technology
23464,Carrasco_etal,2020,Observational,Terrestrial,National,25,africa,Madagascar,Selecting priority areas for the conservation of endemic trees species and their ecosystems in Madagascar considering both conservation value and vulnerability to human pressure,1.4:DevUnspec; 2.5:AgUnspec; 5.3:UseWood,1; 2; 5,literature,Quantitative,3,level1,,Agriculture (Unspecified); Development (Unspecified); Logging & Wood Harvesting,Agriculture & Aquaculture; Biological Resource Use; Residential & Commercial Development,0,climate_change;direct_exploitation;invasive_and_alien_species,conflits_and_epidemics;technology
23466,Carrete_etal,2012,Experimental,Terrestrial,Sub-national,,europe,Spain,Mortality at wind-farms is positively related to large-scale distribution and aggregation in griffon vultures,3.3:Renew,3,database,Quantitative,1,level2,GovernmentRepository,Renewable Energy,Energy Production & Mining,0,climate_change;direct_exploitation;land/sea_use_change,demographic
W26579,Carroll,2018,Observational,Terrestrial,Multi-national,,asia,Myanmar,Pulse of the Forest: The state of the Greater Mekong's Forests and the everyday people working to protect them,2.2:AgWood; 4.1:RoadRail,2; 4,rs,Qualitative,2,level2,,Roads & Railroads; Wood & Pulp Plantations,Agriculture & Aquaculture; Transportation & Service Corridors,1;0,climate_change;direct_exploitation;pollution,demographic;economic
23473,Carvajal-Quintero_etal,2017,Observational,Freshwater,Local,,south america,Colombia,Damming Fragments Species’ Ranges and Heightens Extinction Risk,7.2:WaterSystem,7,literature,Qualitative,1,level2,,Dams & Water Management/Use,Natural System Modifications,1,climate_change;invasive_and_alien_species;land/sea_use_change,demographic;economic;governance_and_institutions
23477,Carvalho_etal,2019,Observational,Terrestrial,Sub-national,100,south america,Brazil,Changes in secondary vegetation dynamics in a context of decreasing deforestation rates in Pará Brazilian Amazon,1.1:DevResid; 1.2:DevComInd; 2.1:AgNTC; 2.3:AgLivestock; 7.2:WaterSystem,1; 2; 7,rs,Qualitative,5,level2,TerraClassInitiative_TC; Landsat,Annual & Perennial Non-Timber Crops; Commercial & Industrial Areas; Dams & Water Management/Use; Housing & Urban Areas; Livestock Farming & Ranching,Agriculture & Aquaculture; Natural System Modifications; Residential & Commercial Development,1,climate_change;invasive_and_alien_species;pollution,demographic;economic;society_and_culture
23487,Cavalcante,2012,Observational,Marine,Local,,north atlantic,Canada,"Study of Baleen Whales’ Ecology and Interaction with 
Maritime Traffic Activities to Support Management of a 
Complex Socio-Ecological System",4.3:ShipLane; 6.1:ActivRnR,4; 6,survey,Qualitative,2,level2,,Recreational Activities; Shipping Lanes,Human Intrusions & Disturbance; Transportation & Service Corridors,1,climate_change;land/sea_use_change;pollution,demographic;economic;technology
23489,Ceballos-Mago_etal,2010,Observational,Terrestrial,National,,south america,Venezuela,Impact of the pet trade on the Margarita capuchin monkey Cebus apella margaritae,5.1:UseAnimals,5,survey,Quantitative,1,level2,,Hunting & Collecting Animals,Biological Resource Use,1;na,direct_exploitation;invasive_and_alien_species;land/sea_use_change,demographic;governance_and_institutions
23490,Ceia-Hasse_etal,2017,Observational,Terrestrial,Global,10000,Unknown,Unknown,Global exposure of carnivores to roads,4.1:RoadRail,4,literature,Quantitative,1,level2,,Roads & Railroads,Transportation & Service Corridors,0,direct_exploitation;invasive_and_alien_species;pollution,demographic;governance_and_institutions;society_and_culture
W26584,Chanchani P._etal,2014,Observational,Terrestrial,Multi-national,15,asia,India,"Tigers of the Transboundary Terai Arc Landscape: Status, distribution and movement in the Terai of India and Nepal. ",1.1:DevResid; 4.1:RoadRail,1; 4,survey,Qualitative,2,level2,,Housing & Urban Areas; Roads & Railroads,Residential & Commercial Development; Transportation & Service Corridors,1,direct_exploitation;land/sea_use_change;pollution,demographic;governance_and_institutions;technology
W22911,Charity_etal,2016,Observational,Freshwater,Multi-national,,south america,Brazil,Living amazon report 2016: A regional approach to conservation in the Amazon,3.1:OilGas; 3.2:MinQuar; 4.1:RoadRail; 7.2:WaterSystem,3; 4; 7,literature; rs,Qualitative,4,level2,,Dams & Water Management/Use; Mining & Quarrying; Oil & Gas Drilling; Roads & Railroads,Energy Production & Mining; Natural System Modifications; Transportation & Service Corridors,0,invasive_and_alien_species;land/sea_use_change;pollution,demographic;society_and_culture
23509,Chaudhary and Brooks,2019,Observational,Terrestrial,Global,,Unknown,Unknown,National Consumption and Global Trade Impacts on Biodiversity,1.1:DevResid; 2.1:AgNTC; 2.2:AgWood; 2.3:AgLivestock,1; 2,database,Qualitative,4,cumulative,IUCNredlist,Annual & Perennial Non-Timber Crops; Housing & Urban Areas; Livestock Farming & Ranching; Wood & Pulp Plantations,Agriculture & Aquaculture; Residential & Commercial Development,1,climate_change;direct_exploitation;invasive_and_alien_species;land/sea_use_change,demographic;society_and_culture;technology
23507,Chaudhary and Kastner,2016,Observational,Terrestrial,Global,,Unknown,Unknown,Land use biodiversity impacts embodied in international food trade,2.2:AgWood; 5.3:UseWood,2; 5,database,Quantitative,1,cumulative,FAO,Logging & Wood Harvesting; Wood & Pulp Plantations,Agriculture & Aquaculture; Biological Resource Use,1;0,climate_change;direct_exploitation;invasive_and_alien_species;pollution,demographic;technology
23508,Chaudhary_etal,2017,Observational,Terrestrial,Global,,Unknown,Unknown,Linking national wood consumption with global biodiversity and ecosystem service losses,2.1:AgNTC,2,database,Quantitative,1,level2,FAOSTAT,Annual & Perennial Non-Timber Crops,Agriculture & Aquaculture,1,climate_change;direct_exploitation;land/sea_use_change;pollution,economic
23513,Chaves_etal,2020,Observational,Freshwater,Local,,south america,Brazil,Pharmaceuticals and personal care products in a Brazilian wetland of international importance: Occurrence and environmental risk assessment,9.1:PollDWW,9,survey,Quantitative,1,level2,,Domestic & Urban Waste Water,Pollution,1;0,climate_change;invasive_and_alien_species;land/sea_use_change;pollution,economic;governance_and_institutions
23515,Chee_etal,2017,Observational,Terrestrial,Local,,indian ocean,Malaysia,Land reclamation and artificial islands: Walking the tightrope between development and conservation,1.1:DevResid,1,literature; rs,Qualitative,1,level2,,Housing & Urban Areas,Residential & Commercial Development,1,direct_exploitation;invasive_and_alien_species;land/sea_use_change;pollution,economic;governance_and_institutions;society_and_culture
23517,Chen,2014,Observational,Terrestrial,Local,,asia,China,Spatial risk assessment of alien plants in China using biodiversity resistance theory,8.1:SDAlienInv,8,literature,Quantitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species,0,climate_change;direct_exploitation;invasive_and_alien_species;land/sea_use_change;pollution,economic;governance_and_institutions;technology
23518,Chen and Koprowski,2015,Observational,Terrestrial,Local,50,north america,United States,Animal occurrence and space use change in the landscape of anthropogenic noise,4.1:RoadRail; 9.6:PollEnergy,4; 9,survey,Quantitative,2,level2,,"Excess Energy (Light, Heat, Sound); Roads & Railroads",Pollution; Transportation & Service Corridors,0,climate_change;climate_change,economic;society_and_culture
23523,Cheng,2017,Observational,Terrestrial,Sub-national,,north america,United States,"Long-Term Impacts of an Emerging Disease, White-Nose Syndrome: Drivers, Mechanisms, and Conservation Action Influencing the Persistence of North American Bats",8.1:SDAlienInv,8,survey,Quantitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species,1;0,direct_exploitation;direct_exploitation,economic;technology
23527,Chettri_etal,2013,Observational,Terrestrial,Local,,asia,Nepal,"Linking Spatio-temporal land cover change to biodiversity conservation in the koshi tappu wildlife reserve, Nepal",2.5:AgUnspec,2,rs,Qualitative,1,level1,,Agriculture (Unspecified),Agriculture & Aquaculture,1,pollution;pollution,governance_and_institutions
23528,Chevaldonné and Lejeusne,2003,Observational,Marine,Local,,mediterranean,France,Regional warming-induced species shift in north-west mediterranean marine caves,11.1:CC_Habitat; 8.2:SDNativProb,11; 8,survey,Qualitative,2,cumulative,,Habitat Shifting & Alteration; Problematic Native Species,Climate Change & Severe Weather; Invasive & Problematic Species,1,land/sea_use_change;land/sea_use_change,governance_and_institutions;society_and_culture
23530,Chirichella_etal,2013,Observational,Terrestrial,Local,,europe,Italy,Effects of livestock and non-native mouflon on use of high-elevation pastures by Alpine chamois,2.3:AgLivestock; 8.1:SDAlienInv,2; 8,survey,Qualitative,2,level2,,Invasive Non-Native/Alien Species; Livestock Farming & Ranching,Agriculture & Aquaculture; Invasive & Problematic Species,1,invasive_and_alien_species;invasive_and_alien_species,governance_and_institutions;technology
23531,Choe and Thorne,2019,Observational,Terrestrial,Multi-national,,asia,China,Climate exposure of East Asian temperate forests suggests transboundary climate adaptation strategies are needed,11.3:CC_Temp,11,database; modelled,Quantitative,1,level2,WorldClim.org,Temperature Extremes,Climate Change & Severe Weather,1;na,climate_change;direct_exploitation;direct_exploitation,society_and_culture
23534,Choquette Jonathan_etal,2020,Observational,Terrestrial,Local,0.3,north america,Canada,Identifying Potential Connectivity for an Urban Population of Rattlesnakes (Sistrurus catenatus) in a Canadian Park System,4.1:RoadRail,4,literature; rs,Quantitative,1,level2,,Roads & Railroads,Transportation & Service Corridors,0,land/sea_use_change;pollution;pollution,society_and_culture;technology
23537,Chowdhury and Maiti,2016,Observational,Freshwater,Local,,asia,India,"Assessing the ecological health risk in a conserved mangrove ecosystem due to heavy metal pollution: A case study from Sundarbans Biosphere Reserve, India",1.1:DevResid; 9.1:PollDWW,1; 9,survey,Quantitative,2,level2,,Domestic & Urban Waste Water; Housing & Urban Areas,Pollution; Residential & Commercial Development,1,climate_change;climate_change;direct_exploitation;invasive_and_alien_species,technology
23543,Chu_etal,2003,Observational,Freshwater,National,,north america,Canada,Comparative regional assessment of factors impacting freshwater fish biodiversity in Canada,2.1:AgNTC; 2.2:AgWood; 3.1:OilGas; 4.1:RoadRail; 9.1:PollDWW; 9.4:PollGarbSW,2; 3; 4; 9,database,Quantitative,6,cumulative,AgricultureAndAgri-FoodCanada_1997,Annual & Perennial Non-Timber Crops; Domestic & Urban Waste Water; Garbage & Solid Waste; Oil & Gas Drilling; Roads & Railroads; Wood & Pulp Plantations,Agriculture & Aquaculture; Energy Production & Mining; Pollution; Transportation & Service Corridors,0,climate_change,conflits_and_epidemics
23547,Chun_etal,2020,Observational,Terrestrial,National,1,asia,South Korea,Social big data informs spatially explicit management options for national parks with high tourism pressures,6.1:ActivRnR,6,database,Quantitative,1,level2,KNPS_2019;NaturalCapitalProject_2017,Recreational Activities,Human Intrusions & Disturbance,1,direct_exploitation,conflits_and_epidemics;demographic
23552,Chytry_etal,2009,Observational,Terrestrial,Continental,250,europe,Unknown,European map of alien plant invasions based on the quantitative assessment across habitats,8.1:SDAlienInv,8,literature,Quantitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species,1;0,invasive_and_alien_species,conflits_and_epidemics;demographic;economic
W26593,Cinner_etal,2018,Observational,Marine,Global,,Unknown,Unknown,Gravity of human impacts mediates coral reef conservation gains,5.4:UseAquatic,5,modelled,Quantitative,1,level2,,Fishing & Harvesting Aquatic Resources,Biological Resource Use,1,land/sea_use_change,conflits_and_epidemics;demographic;governance_and_institutions
23559,Clare_etal,2019,Observational,Terrestrial,Local,250,north america,United States,Satellite-detected forest disturbance forecasts American marten population decline: The case for supportive space-based monitoring,2.2:AgWood,2,rs,Qualitative,1,level2,,Wood & Pulp Plantations,Agriculture & Aquaculture,1;0,pollution,conflits_and_epidemics;demographic;society_and_culture
23560,Clark and Tittensor,2010,Observational,Marine,Global,1,Unknown,Unknown,An index to assess the risk to stony corals from bottom trawling on seamounts,5.4:UseAquatic,5,literature,Quantitative,1,level2,,Fishing & Harvesting Aquatic Resources,Biological Resource Use,1,climate_change;direct_exploitation,conflits_and_epidemics;demographic;technology
23565,Clarke_etal,2015,Observational,Marine,Sub-national,,north pacific,Canada,Cumulative effects of planned industrial development and climate change on marine ecosystems,1.2:DevComInd; 11.1:CC_Habitat; 11.3:CC_Temp; 11.5:CC_other; 3.1:OilGas; 4.3:ShipLane; 5.4:UseAquatic; 8.1:SDAlienInv; 9.1:PollDWW; 9.3:PollAgrFor,1; 11; 3; 4; 5; 8; 9,literature; modelled,Quantitative,10,cumulative,,Agricultural & Forestry Effluents; Climate Change (Other); Commercial & Industrial Areas; Domestic & Urban Waste Water; Fishing & Harvesting Aquatic Resources; Habitat Shifting & Alteration; Invasive Non-Native/Alien Species; Oil & Gas Drilling; Shipping Lanes; Temperature Extremes,Biological Resource Use; Climate Change & Severe Weather; Energy Production & Mining; Invasive & Problematic Species; Pollution; Residential & Commercial Development; Transportation & Service Corridors,0,climate_change;invasive_and_alien_species,conflits_and_epidemics;economic
23566,Clarke_etal,2018,Observational,Marine,National,,north pacific,Costa Rica,"Assessing the vulnerability of demersal elasmobranchs to a data-poor shrimp trawl fishery in Costa Rica, Eastern Tropical Pacific",5.4:UseAquatic,5,modelled; survey,Quantitative,1,level2,,Fishing & Harvesting Aquatic Resources,Biological Resource Use,0,climate_change;land/sea_use_change,conflits_and_epidemics;economic;governance_and_institutions
23571,Clavero and García-Berthou,2006,Observational,Freshwater,Multi-national,,europe,France,Homogenization dynamics and introduction routes of invasive freshwater fish in the Iberian Peninsula,8.1:SDAlienInv,8,literature,Quantitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species,1;0,climate_change;pollution,conflits_and_epidemics;economic;society_and_culture
23572,Clavero_etal,2010,Observational,Freshwater,Multi-national,100,europe,Andorra,Geographical linkages between threats and imperilment in freshwater fish in the Mediterranean Basin,1.2:DevComInd; 2.5:AgUnspec; 5.4:UseAquatic; 7.2:WaterSystem; 8.1:SDAlienInv; 9.7:PollUnspec,1; 2; 5; 7; 8; 9,database,Qualitative,6,cumulative,IUCNredlist,Agriculture (Unspecified); Commercial & Industrial Areas; Dams & Water Management/Use; Fishing & Harvesting Aquatic Resources; Invasive Non-Native/Alien Species; Pollution (Unspecified),Agriculture & Aquaculture; Biological Resource Use; Invasive & Problematic Species; Natural System Modifications; Pollution; Residential & Commercial Development,1,direct_exploitation;invasive_and_alien_species,conflits_and_epidemics;economic;technology
23573,Clay_etal,2019,Observational,Marine,Global,5,Unknown,Unknown,A comprehensive large-scale assessment of fisheries bycatch risk to threatened seabird populations,5.4:UseAquatic,5,database,Quantitative,1,level2,multiple,Fishing & Harvesting Aquatic Resources,Biological Resource Use,1,direct_exploitation;land/sea_use_change,conflits_and_epidemics;governance_and_institutions
23576,Clements_etal,2014,Observational,Terrestrial,Local,1,asia,Malaysia,Where and how are roads endangering mammals in Southeast Asia's forests?,1.1:DevResid; 4.1:RoadRail,1; 4,expert,Qualitative,1,level2,,Housing & Urban Areas; Roads & Railroads,Residential & Commercial Development; Transportation & Service Corridors,1,direct_exploitation;pollution,conflits_and_epidemics;governance_and_institutions;society_and_culture
23581,Codato_etal,2019,Observational,Terrestrial,Multi-national,,south america,Brazil,"Oil production, biodiversity conservation and indigenous territories: Towards geographical criteria for unburnable carbon areas in the Amazon rainforest",3.1:OilGas,3,database,Qualitative,1,level2,GovernmentRepositories,Oil & Gas Drilling,Energy Production & Mining,1;na,invasive_and_alien_species;land/sea_use_change,conflits_and_epidemics;governance_and_institutions;technology
23582,Coll_etal,2012,Observational,Marine,Multi-national,0.1,mediterranean,Bosnia and Herzegovina,"The Mediterranean Sea under siege: Spatial overlap between marine biodiversity, cumulative threats and marine reserves",11.3:CC_Temp; 11.5:CC_other; 2.4:Aqua; 3.1:OilGas; 4.3:ShipLane; 5.4:UseAquatic; 8.1:SDAlienInv; 9.1:PollDWW; 9.2:PollIndMil; 9.3:PollAgrFor,11; 2; 3; 4; 5; 8; 9,literature,Quantitative,10,cumulative,,Agricultural & Forestry Effluents; Climate Change (Other); Domestic & Urban Waste Water; Fishing & Harvesting Aquatic Resources; Industrial & Military Effluents; Invasive Non-Native/Alien Species; Marine & Freshwater Aquaculture; Oil & Gas Drilling; Shipping Lanes; Temperature Extremes,Agriculture & Aquaculture; Biological Resource Use; Climate Change & Severe Weather; Energy Production & Mining; Invasive & Problematic Species; Pollution; Transportation & Service Corridors,0,invasive_and_alien_species;pollution,conflits_and_epidemics;society_and_culture
23583,Coll_etal,2015,Observational,Marine,Multi-national,0.1,mediterranean,Bosnia and Herzegovina,'Low-hanging fruit' for conservation of marine vertebrate species at risk in the Mediterranean Sea,1.2:DevComInd; 11.1:CC_Habitat; 11.3:CC_Temp; 11.5:CC_other; 3.1:OilGas; 4.3:ShipLane; 5.4:UseAquatic; 8.1:SDAlienInv; 9.1:PollDWW; 9.3:PollAgrFor,1; 11; 3; 4; 5; 8; 9,literature,Qualitative,10,cumulative,Halpern2008,Agricultural & Forestry Effluents; Climate Change (Other); Commercial & Industrial Areas; Domestic & Urban Waste Water; Fishing & Harvesting Aquatic Resources; Habitat Shifting & Alteration; Invasive Non-Native/Alien Species; Oil & Gas Drilling; Shipping Lanes; Temperature Extremes,Biological Resource Use; Climate Change & Severe Weather; Energy Production & Mining; Invasive & Problematic Species; Pollution; Residential & Commercial Development; Transportation & Service Corridors,1,land/sea_use_change;pollution,conflits_and_epidemics;society_and_culture;technology
23588,Compa_etal,2019,Observational,Marine,Multi-national,0.2,mediterranean,Bosnia and Herzegovina,Risk assessment of plastic pollution on marine diversity in the Mediterranean Sea,9.4:PollGarbSW,9,literature,Quantitative,1,level2,,Garbage & Solid Waste,Pollution,0,climate_change;direct_exploitation;invasive_and_alien_species,conflits_and_epidemics;technology
23591,Comte and Olden,2017,Observational,Freshwater,Global,0.1,Unknown,Unknown,Climatic vulnerability of the world's freshwater and marine fishes,11.3:CC_Temp,11,literature,Quantitative,1,level2,,Temperature Extremes,Climate Change & Severe Weather,1,climate_change;direct_exploitation;land/sea_use_change,demographic
23594,Coppes and Braunisch,2013,Observational,Terrestrial,Local,10,europe,Germany,Managing visitors in nature areas: where do they leave the trails? A spatial model,6.1:ActivRnR,6,survey,Qualitative,1,level2,,Recreational Activities,Human Intrusions & Disturbance,1;0,climate_change;direct_exploitation;pollution,demographic;economic
23595,Coppes_etal,2017,Observational,Terrestrial,Local,10,europe,Germany,Outdoor recreation causes effective habitat reduction in capercaillie Tetrao urogallus: a major threat for geographically restricted populations,6.1:ActivRnR,6,database,Qualitative,1,level2,"TourismandRecreationInformationSystemTFISBaden-Württemberg_Germany;www.lgl-bw.de;(<www._x000D_
outdooractive.de;www.gpsies.com;www.bergfex.de",Recreational Activities,Human Intrusions & Disturbance,1,climate_change;invasive_and_alien_species;land/sea_use_change,demographic;economic;governance_and_institutions
23598,Coristine and Kerr,2015,Observational,Terrestrial,Multi-national,5,north america,United States,Temperature-related geographical shifts among passerines: contrasting processes along poleward and equatorward range margins,11.3:CC_Temp,11,modelled,Quantitative,1,level2,BBS,Temperature Extremes,Climate Change & Severe Weather,1;0,climate_change;invasive_and_alien_species;pollution,demographic;economic;society_and_culture
23599,Coristine_etal,2016,Observational,Terrestrial,Multi-national,5,north america,Canada,"Dispersal Limitation, Climate Change, and Practical Tools for Butterfly Conservation in Intensively Used Landscapes",1.4:DevUnspec; 11.1:CC_Habitat; 4.5:UnspecLine,1; 11; 4,database; pcm,Qualitative,3,cumulative,World Database on Protected Areas; Human Footprint,Development (Unspecified); Habitat Shifting & Alteration; Transportation Corridors (Unspecified),Climate Change & Severe Weather; Residential & Commercial Development; Transportation & Service Corridors,1,climate_change;land/sea_use_change;pollution,demographic;economic;technology
23602,Correa_etal,2020,Observational,Terrestrial,National,300,south america,Colombia,Spatiotemporal evaluation of the human footprint in Colombia: Four decades of anthropic impact in highly biodiverse ecosystems,1.1:DevResid; 4.1:RoadRail,1; 4,modelled,Quantitative,2,cumulative,,Housing & Urban Areas; Roads & Railroads,Residential & Commercial Development; Transportation & Service Corridors,0,direct_exploitation;invasive_and_alien_species;land/sea_use_change,demographic;governance_and_institutions
23603,Cosandey-Godin_etal,2014,Observational,Marine,Sub-national,1,arctic ocean,Canada,Applying Bayesian spatiotemporal models to fisheries bycatch in the Canadian Arctic,5.4:UseAquatic,5,database,Quantitative,1,level2,FisheriesAndOceansCanada_DFO,Fishing & Harvesting Aquatic Resources,Biological Resource Use,0,direct_exploitation;invasive_and_alien_species;pollution,demographic;governance_and_institutions;society_and_culture
23609,Courtois_etal,2015,Observational,Terrestrial,National,,south america,French Guiana,"Widespread occurrence of Bd in French Guiana, South America",8.1:SDAlienInv,8,survey,Quantitative,1,level2,Bd-map database,Invasive Non-Native/Alien Species,Invasive & Problematic Species,1;0,direct_exploitation;land/sea_use_change;pollution,demographic;governance_and_institutions;technology
